date,ticker_a,ticker_b,hedge_ratio,adf_pvalue,is_cointegrated,half_life_days,open_z,close_z,signal,position,position_held,strategy_return_pct,spread_move_pct,pair_pnl_usd,ticker_a_return_pct,ticker_b_return_pct,spy_return_pct,excess_return_pct,logged_at
2026-07-31,DUK,SO,0.9362701734870322,0.12542418779225561,False,,1.1071093543736155,0.08756047097037867,EXIT,0,-1,0.8657437634423282,-0.8657437634423282,86.57437634423282,-0.17509050380537516,0.6923011290918879,0.7199809675054292,0.145762795936899,2026-07-31T20:43:08+00:00
2026-07-31,JNJ,MRK,0.8623488828943878,0.006046282871813546,True,9.039903663523805,-0.5941175693973328,-0.9331726599926778,NO_POSITION,0,0,0.0,-0.06502257288660829,0.0,0.13280587669282085,0.9928628587315691,0.7199809675054292,-0.7199809675054292,2026-07-31T20:43:08+00:00
2026-07-31,AVGO,NVDA,1.3445409439437324,0.004656644128929417,True,7.256493177550997,1.7150365251918642,0.8320843466826482,NO_POSITION,0,0,0.0,-3.509169714571936,0.0,-1.4056652183769613,1.1638218755452234,0.7199809675054292,-0.7199809675054292,2026-07-31T20:43:08+00:00
2026-07-31,GDX,GLD,1.5273456530359835,0.021954803159512745,True,10.32418211940438,0.1699793605615986,-0.4983977932190334,NO_POSITION,0,0,0.0,-1.2598686823562133,0.0,-1.0416650746622125,0.18876394508251515,0.7199809675054292,-0.7199809675054292,2026-07-31T20:43:08+00:00
2026-07-31,ROST,TGT,1.0326569850779166,0.12509425441233252,False,,0.907447264274462,0.8407295869038742,NO_POSITION,0,0,0.0,-0.5813803341738755,0.0,-0.6764741923157902,-0.37233213175059676,0.7199809675054292,-0.7199809675054292,2026-07-31T20:43:08+00:00
2026-07-31,GD,RTX,0.5212313023748898,0.009939343127288306,True,8.68466174691743,-0.044121662284039465,-0.13129806895527413,NO_POSITION,0,0,0.0,0.11486369835527199,0.0,0.2719829833258691,0.8764917101901526,0.7199809675054292,-0.7199809675054292,2026-07-31T20:43:08+00:00
2026-08-03,DUK,SO,0.9287306117114835,0.11771359901477152,False,,1.6207673573288068,0.9149388460823547,NO_POSITION,0,0,0.0,0.6641634355148085,0.0,-0.5760009765624963,0.03228799710952579,1.424300656734756,-1.424300656734756,2026-08-03T20:30:13+00:00
2026-08-03,JNJ,MRK,0.8559976933367468,0.004465239367036849,True,8.644296406436233,-1.072629920344225,-0.5208290803582798,NO_POSITION,0,0,0.0,0.8530393532280911,0.0,-0.2196327238156215,-1.6170005028691703,1.424300656734756,-1.424300656734756,2026-08-03T20:30:13+00:00
2026-08-03,AVGO,NVDA,1.341574416300627,0.004630159254651942,True,7.260404004889277,1.053326947193079,-0.18958607776532996,NO_POSITION,0,0,0.0,-3.1245816740756993,0.0,2.035616662603257,4.5061466922736715,1.424300656734756,-1.424300656734756,2026-08-03T20:30:13+00:00
2026-08-03,GDX,GLD,1.520323764470121,0.01968762027690229,True,10.074115117506679,0.015039183210607937,0.882669076412002,NO_POSITION,0,0,0.0,2.528014433228254,0.0,2.3415496572881223,0.43501359767936787,1.424300656734756,-1.424300656734756,2026-08-03T20:30:13+00:00
2026-08-03,ROST,TGT,1.0229637160861578,0.1040027996781126,False,,0.8808971956170588,0.26603261180852883,NO_POSITION,0,0,0.0,-2.6540043012605707,0.0,-1.3014854996691527,1.2405109666854264,1.424300656734756,-1.424300656734756,2026-08-03T20:30:13+00:00
2026-08-03,GD,RTX,0.5153211243002527,0.005590647682681607,True,8.191961103781745,0.22134454950430715,-0.42723958454921657,NO_POSITION,0,0,0.0,-0.5998056968715915,0.0,-1.3211186371969719,0.036933356217638824,1.424300656734756,-1.424300656734756,2026-08-03T20:30:13+00:00
2026-08-04,DUK,SO,0.9288641096355568,0.11418747699376114,False,,1.1369648774275056,0.4702294029642,NO_POSITION,0,0,0.0,-0.31735164834501006,0.0,0.6153303325164394,1.25964133808103,1.8029002715958642,-1.8029002715958642,2026-08-05T00:07:23+00:00
2026-08-04,JNJ,MRK,0.8560422774973473,0.0043651155762082705,True,8.644160469111497,-0.7632501067341633,-0.5171279736346107,NO_POSITION,0,0,0.0,0.050220858188509965,0.0,0.2043901600514486,-0.3580933285266097,1.8029002715958642,-1.8029002715958642,2026-08-05T00:07:23+00:00
2026-08-04,AVGO,NVDA,1.3432877830544305,0.005008832047914195,True,7.237804103873551,-0.34160873507305684,0.7631731419728695,NO_POSITION,0,0,0.0,2.999684023695437,0.0,3.769511972452455,0.21277456927237814,1.8029002715958642,-1.8029002715958642,2026-08-05T00:07:23+00:00
2026-08-04,GDX,GLD,1.5201358933137685,0.020845777820889404,True,10.141694535229906,1.4869536929543727,1.6760466626110924,NO_POSITION,0,0,0.0,1.4304944171825262,0.0,0.39942991387169613,0.005342655928064488,1.8029002715958642,-1.8029002715958642,2026-08-05T00:07:23+00:00
2026-08-04,ROST,TGT,1.022100246457374,0.10285393577435542,False,,0.7293706255206156,0.3998809733419976,NO_POSITION,0,0,0.0,0.11798337195880748,0.0,-0.7314879114023731,0.5021412212001586,1.8029002715958642,-1.8029002715958642,2026-08-05T00:07:23+00:00
2026-08-04,GD,RTX,0.5171882414154663,0.006056806787685356,True,8.264001822119983,-0.36143806170331205,-0.20987389364019216,NO_POSITION,0,0,0.0,0.5623198826038234,0.0,0.4347974286383671,0.2530075354746808,1.8029002715958642,-1.8029002715958642,2026-08-05T00:07:23+00:00
